epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,10147.6,0.80069,0.50208,0.93611,0.63548,0.54236,0.56169,0.36715,0.96757,0.67614,1.20646,0.0040996,0.0040996,0.0040996
151,10215.1,0.79438,0.49613,0.93282,0.66625,0.53163,0.56292,0.36746,0.9687,0.66856,1.21682,0.00406,0.00406,0.00406
152,10282.4,0.79204,0.49019,0.93057,0.63417,0.54581,0.56409,0.36644,0.96805,0.68985,1.21115,0.0040204,0.0040204,0.0040204
153,10349.7,0.78654,0.489,0.92989,0.64138,0.55063,0.56487,0.36641,0.97084,0.69536,1.21294,0.0039808,0.0039808,0.0039808
154,10417.1,0.79144,0.49416,0.92554,0.63932,0.5513,0.56806,0.36756,0.97649,0.68187,1.22367,0.0039412,0.0039412,0.0039412
155,10484.5,0.78402,0.48512,0.93153,0.63574,0.55776,0.57032,0.36922,0.97067,0.68248,1.21052,0.0039016,0.0039016,0.0039016
156,10552,0.78755,0.48464,0.93011,0.65875,0.54961,0.57105,0.36861,0.96283,0.6875,1.19764,0.003862,0.003862,0.003862
157,10619.4,0.79568,0.49409,0.9316,0.65062,0.55064,0.56595,0.36895,0.96858,0.68105,1.20568,0.0038224,0.0038224,0.0038224
158,10686.7,0.77806,0.47574,0.9265,0.64232,0.55057,0.56518,0.36684,0.96531,0.67966,1.20513,0.0037828,0.0037828,0.0037828
159,10754.4,0.7763,0.47322,0.92568,0.63391,0.55274,0.56112,0.3658,0.96772,0.67883,1.20254,0.0037432,0.0037432,0.0037432
160,10821.6,0.78671,0.48639,0.92586,0.61473,0.56215,0.56011,0.3658,0.9744,0.67449,1.2132,0.0037036,0.0037036,0.0037036
161,10888.9,0.76865,0.47781,0.92494,0.61477,0.56078,0.55865,0.36362,0.98363,0.67498,1.22478,0.003664,0.003664,0.003664
162,10956.8,0.78265,0.47741,0.93307,0.60378,0.56327,0.55812,0.36385,0.98178,0.67345,1.22218,0.0036244,0.0036244,0.0036244
163,11024.6,0.77213,0.47476,0.92654,0.62851,0.56132,0.562,0.36345,0.97677,0.67312,1.21926,0.0035848,0.0035848,0.0035848
164,11093.4,0.77431,0.47786,0.91864,0.62975,0.55594,0.56157,0.36363,0.97465,0.67028,1.21776,0.0035452,0.0035452,0.0035452
165,11161.2,0.75751,0.46942,0.92706,0.63206,0.56185,0.56009,0.36293,0.97644,0.67184,1.22364,0.0035056,0.0035056,0.0035056
166,11228.6,0.77072,0.47589,0.92134,0.6331,0.55856,0.55967,0.36254,0.98171,0.6755,1.22776,0.003466,0.003466,0.003466
167,11296.1,0.77454,0.47561,0.92606,0.63148,0.55738,0.55812,0.36166,0.9871,0.66931,1.23379,0.0034264,0.0034264,0.0034264
168,11363.5,0.75976,0.47305,0.92014,0.62398,0.55592,0.55947,0.36207,0.98571,0.67053,1.23045,0.0033868,0.0033868,0.0033868
169,11430.9,0.75518,0.46567,0.91497,0.61219,0.56168,0.55997,0.36228,0.98089,0.66944,1.22483,0.0033472,0.0033472,0.0033472
170,11498.3,0.76257,0.47092,0.91746,0.62335,0.5496,0.55722,0.36185,0.98148,0.67342,1.22458,0.0033076,0.0033076,0.0033076
171,11565.7,0.75504,0.45999,0.91139,0.62647,0.54904,0.55937,0.36429,0.98216,0.67116,1.22679,0.003268,0.003268,0.003268
172,11633.1,0.74903,0.45784,0.91755,0.62032,0.54865,0.55741,0.36374,0.98264,0.67268,1.22564,0.0032284,0.0032284,0.0032284
173,11700.4,0.7609,0.46785,0.91442,0.65117,0.53495,0.55949,0.36397,0.98265,0.67653,1.22576,0.0031888,0.0031888,0.0031888
174,11767.7,0.76346,0.47224,0.9187,0.63475,0.54786,0.56082,0.36394,0.98399,0.67977,1.22593,0.0031492,0.0031492,0.0031492
175,11835,0.73963,0.45543,0.91396,0.64085,0.55,0.564,0.36289,0.98648,0.67944,1.23051,0.0031096,0.0031096,0.0031096
176,11902.2,0.7441,0.45686,0.91598,0.63107,0.55886,0.56785,0.36212,0.98275,0.68215,1.22449,0.00307,0.00307,0.00307
177,11969.5,0.7476,0.46045,0.91385,0.62729,0.56286,0.56916,0.36287,0.98828,0.67254,1.23094,0.0030304,0.0030304,0.0030304
178,12037,0.74363,0.45542,0.91106,0.61981,0.56475,0.56704,0.3631,0.98642,0.67414,1.227,0.0029908,0.0029908,0.0029908
179,12104.3,0.72859,0.44744,0.90845,0.61781,0.56914,0.5698,0.36321,0.98357,0.67478,1.22399,0.0029512,0.0029512,0.0029512
180,12171.9,0.74422,0.44874,0.90712,0.61906,0.56612,0.56832,0.36287,0.98683,0.67784,1.22871,0.0029116,0.0029116,0.0029116
